category,image_id,image_path,ecg_id,layout,status,error,method,cosine_similarity,mean_abs_probability_difference,agreement_rate
photos_samsung,82,photos_samsung/img_82_page_0.jpeg,LPAE_19269_hr,3x4+1R,success,,segment_ensemble,0.9777045249938965,0.022427642717957497,0.9866666666666667
photos_scans,82,photos_scans/img_82_page_0.jpeg,LPAE_19269_hr,3x4+1R,success,,tiled,0.9412349462509155,0.032920412719249725,0.9733333333333334
photos_scans,82,photos_scans/img_82_page_0.jpeg,LPAE_19269_hr,3x4+1R,success,,segment_ensemble,0.9893414974212646,0.014339903369545937,1.0
photos_screens,82,photos_screens/img_82_page_0.jpeg,LPAE_19269_hr,3x4+1R,success,,tiled,0.8265239000320435,0.07103177160024643,0.9533333333333334
photos_screens,82,photos_screens/img_82_page_0.jpeg,LPAE_19269_hr,3x4+1R,success,,segment_ensemble,0.8981958031654358,0.05022550746798515,0.96
photos_bents,92,photos_bents/img_92_page_0.jpeg,LPAE_14680_hr,3x4+1R,success,,tiled,0.9274954795837402,0.048010628670454025,0.9666666666666667
photos_bents,92,photos_bents/img_92_page_0.jpeg,LPAE_14680_hr,3x4+1R,success,,segment_ensemble,0.945705771446228,0.03962315618991852,0.9733333333333334
photos_crumbles,92,photos_crumbles/img_92_page_0.jpeg,LPAE_14680_hr,3x4+1R,success,,tiled,0.9326685667037964,0.045156270265579224,0.9666666666666667
photos_crumbles,92,photos_crumbles/img_92_page_0.jpeg,LPAE_14680_hr,3x4+1R,success,,segment_ensemble,0.9197196960449219,0.044057611376047134,0.9733333333333334
photos_doogee,92,photos_doogee/img_92_page_0.jpeg,LPAE_14680_hr,3x4+1R,success,,tiled,0.9669922590255737,0.027323083952069283,0.9733333333333334
photos_doogee,92,photos_doogee/img_92_page_0.jpeg,LPAE_14680_hr,3x4+1R,success,,segment_ensemble,0.9877244234085083,0.017825307324528694,0.9933333333333333
photos_iphone,92,photos_iphone/img_92_page_0.jpeg,LPAE_14680_hr,3x4+1R,success,,tiled,0.9767966866493225,0.025363530963659286,0.98
photos_iphone,92,photos_iphone/img_92_page_0.jpeg,LPAE_14680_hr,3x4+1R,success,,segment_ensemble,0.9852644205093384,0.019531374797225,0.9933333333333333
photos_samsung,92,photos_samsung/img_92_page_0.jpeg,LPAE_14680_hr,3x4+1R,success,,tiled,0.9598842263221741,0.03315011411905289,0.9733333333333334
photos_samsung,92,photos_samsung/img_92_page_0.jpeg,LPAE_14680_hr,3x4+1R,success,,segment_ensemble,0.9733136296272278,0.023268308490514755,0.98
photos_scans,92,photos_scans/img_92_page_0.jpeg,LPAE_14680_hr,3x4+1R,success,,tiled,0.9808732271194458,0.02104474976658821,0.9733333333333334
photos_scans,92,photos_scans/img_92_page_0.jpeg,LPAE_14680_hr,3x4+1R,success,,segment_ensemble,0.9917446970939636,0.015047060325741768,1.0
photos_screens,92,photos_screens/img_92_page_0.jpeg,LPAE_14680_hr,3x4+1R,success,,tiled,0.9365311861038208,0.04274927079677582,0.98
photos_screens,92,photos_screens/img_92_page_0.jpeg,LPAE_14680_hr,3x4+1R,success,,segment_ensemble,0.9377022385597229,0.03774735704064369,0.9733333333333334
